"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","Получение текущего пользователя","LMS service","Thu Jul 31 11:41:28 GMT 2025","passed","Thu Jul 31 11:41:29 GMT 2025","Get Entity","Users","",""
"","290","Удаление задания","LMS service","Thu Jul 31 11:41:23 GMT 2025","passed","Thu Jul 31 11:41:23 GMT 2025","Delete Entity","Exercises","",""
"","23","Удаление файла","LMS service","Thu Jul 31 11:41:27 GMT 2025","passed","Thu Jul 31 11:41:27 GMT 2025","Delete Entity","Files","",""
"","556","Создание пользователя c gmail.com","LMS service","Thu Jul 31 11:41:27 GMT 2025","passed","Thu Jul 31 11:41:28 GMT 2025","Create Entity","Users","",""
"","291","Обновление задания","LMS service","Thu Jul 31 11:41:22 GMT 2025","passed","Thu Jul 31 11:41:22 GMT 2025","Update Entity","Exercises","",""
"","30","Получение курсов по пользователю","LMS service","Thu Jul 31 11:41:20 GMT 2025","passed","Thu Jul 31 11:41:20 GMT 2025","Get Entities","Courses","",""
"","285","Тест аутентификации пользователя c корректным логином и паролем","LMS service","Thu Jul 31 11:41:19 GMT 2025","passed","Thu Jul 31 11:41:19 GMT 2025","Login","Authentication","",""
"","267","Создание файла с пустым каталогом","LMS service","Thu Jul 31 11:41:26 GMT 2025","passed","Thu Jul 31 11:41:26 GMT 2025","Validate Entity","Files","",""
"","288","Создание пользователя c example.com","LMS service","Thu Jul 31 11:41:27 GMT 2025","passed","Thu Jul 31 11:41:28 GMT 2025","Create Entity","Users","",""
"","259","Создание файла с пустым именем","LMS service","Thu Jul 31 11:41:25 GMT 2025","passed","Thu Jul 31 11:41:26 GMT 2025","Validate Entity","Files","",""
"","36","Обновление курса","LMS service","Thu Jul 31 11:41:21 GMT 2025","passed","Thu Jul 31 11:41:21 GMT 2025","Update Entity","Courses","",""
"","269","Создание файла","LMS service","Thu Jul 31 11:41:24 GMT 2025","passed","Thu Jul 31 11:41:24 GMT 2025","Create Entity","Files","",""
"","18","Получение задания","LMS service","Thu Jul 31 11:41:23 GMT 2025","passed","Thu Jul 31 11:41:23 GMT 2025","Get Entity","Exercises","",""
"","32","Cоздание курса","LMS service","Thu Jul 31 11:41:20 GMT 2025","passed","Thu Jul 31 11:41:20 GMT 2025","Create Entity","Courses","",""
"","19","Получение списка заданий","LMS service","Thu Jul 31 11:41:24 GMT 2025","passed","Thu Jul 31 11:41:24 GMT 2025","Get Entities","Exercises","",""
"","13","Получение файла","LMS service","Thu Jul 31 11:41:25 GMT 2025","passed","Thu Jul 31 11:41:25 GMT 2025","Get Entity","Files","",""
"","535","Создание пользователя c mail.ru","LMS service","Thu Jul 31 11:41:27 GMT 2025","passed","Thu Jul 31 11:41:27 GMT 2025","Create Entity","Users","",""
"","262","Получение файла с некорректным file_id","LMS service","Thu Jul 31 11:41:27 GMT 2025","passed","Thu Jul 31 11:41:27 GMT 2025","Validate Entity","Files","",""
"","20","Создание задания","LMS service","Thu Jul 31 11:41:21 GMT 2025","passed","Thu Jul 31 11:41:21 GMT 2025","Create Entity","Exercises","",""
